0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, act   Load, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
67,10:15:47:446,97,20,1,0,8,0,1,3,-36.517,-6.873,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0887,0,0,155,100,100,0,1,0,0,6.0887,6.0278,50.708,50.6814,0.0147,0.0011,3912.5,0.0185,0.0006,3912.5
68,10:15:47:553,107,20,1,0,8,0,1,3,-36.517,-7.167,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.084,0,0,155,100,100,0,1,0,0,6.084,6.0122,50.7096,50.6814,0.0147,0.0011,3912.5,0.0185,0.0006,3912.5
69,10:15:47:646,93,20,1,0,8,0,1,3,-36.517,-7.167,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.095,0,0,155,100,100,0,1,0,0,6.095,6.0153,50.7096,50.6814,0.0153,0.0062,3912.5,0.0193,0.0005,3912.5
70,10:15:47:742,96,20,1,0,8,0,1,3,-36.517,-7.167,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0778,0,0,155,100,100,0,1,0,0,6.0778,6.0153,50.7096,50.6814,0.0158,0.0007,3912.5,0.019,0.0002,3912.5
71,10:15:47:842,100,20,1,0,8,0,1,3,-36.517,-7.167,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0887,0,0,155,100,100,0,1,0,0,6.0887,6.0106,50.7096,50.6814,0.0158,0.0007,3912.5,0.019,0.0002,3912.5
72,10:15:47:942,100,20,1,0,8,0,1,3,-36.517,-7.513,-28097.459,19129.227,0.016,0,2000,50,1799,50,6.0903,0,0,155,100,100,0,1,0,0,6.0903,6.0043,50.7096,50.6814,0.0157,0.0037,3912.5,0.0197,0.0005,3912.5
73,10:15:48: 43,101,20,1,0,8,0,1,3,-36.517,-7.513,-28097.459,19129.227,0.016,0,2000,50,1799,50,6.1012,0,0,155,100,100,0,1,0,0,6.1012,5.995,50.7096,50.683,0.0157,0.0037,3912.5,0.0197,0.0005,3912.5
74,10:15:48:140,97,20,1,0,8,0,1,3,-36.517,-7.727,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0887,0,0,155,100,100,0,1,0,0,6.0887,5.9981,50.7096,50.683,0.0163,0.0002,3912.5,0.0201,0.0009,3912.5
75,10:15:48:240,100,20,1,0,8,0,1,3,-36.517,-7.727,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0918,0,0,155,100,100,0,1,0,0,6.0918,5.9981,50.7096,50.6846,0.0163,0.0002,3912.5,0.0201,0.0009,3912.5
76,10:15:48:340,100,20,1,0,8,0,1,3,-36.517,-7.727,-26396.057,31208.675,0.018,0,2000,50,1799,50,6.0793,0,0,155,100,100,0,1,0,0,6.0793,6.0012,50.7096,50.6846,0.0163,0.0039,3912.5,0.0201,0.0009,3912.5
